parameter,fraction,units,class,class_type,trout_class,spatial_extent,sampling_period,sampling_period_units,type,use,water_type,standard_type,narrative,wqs_threshold,wqs_threshold_formula,wqs_threshold_x_column,wqs_threshold_y_column,statistic,min_n,block,direction,threshold,t,summarize_rows,summarize_rows_operator,class1,class2,class3,class4,class5,class6,class7
ammonia,total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,,none,none,none,1,single,<=,2000,ug/l,FALSE,,a, a-special, aa, aa-special,,,
ammonia,total,ug/l,c; b; a; a-special; aa; aa-special,fresh,non_trout,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,,mg/l,FALSE,,c, b, a, a-special, aa, aa-special,
ammonia,total,ug/l,c; b; a; a-special; aa; aa-special,fresh,trout,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,,mg/l,FALSE,,c, b, a, a-special, aa, aa-special,
ammonia,total,ug/l,c; b; a; a-special; aa; aa-special,fresh,trout_spawning,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,,mg/l,FALSE,,c, b, a, a-special, aa, aa-special,
ammonia,total,ug/l,d,fresh,none,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,,mg/l,FALSE,,d,,,,,,
ammonia,total,ug/l,sd; sc; i; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow,water_quality_standard,Applies to un-ionized ammonia as NH3; 230 ug/L,none,,none,none,none,1,single,<=,230,ug/l,FALSE,,sd, sc, i, sb, sa,,
ammonia,total,ug/l,sc; i; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow,water_quality_standard,Applies to un-ionized ammonia as NH3. 35 ug/L,none,,none,none,none,1,single,<=,35,ug/l,FALSE,,sc, i, sb, sa,,,
arsenic,total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,50 ug/L,none,,none,none,none,1,single,<=,50,ug/l,FALSE,,a, a-special, aa, aa-special,,,
arsenic,dissolved,ug/l,c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,150 ug/L,none,,none,none,none,1,single,<=,150,ug/l,FALSE,,c, b, a, a-special, aa, aa-special,
arsenic,dissolved,ug/l,d; c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow; pond,water_quality_standard,340 ug/L,none,,none,none,none,1,single,<=,340,ug/l,FALSE,,d, c, b, a, a-special, aa, aa-special
