SITE_ID,chemical_name,sample_date,fraction,result_value,result_unit,validator_qualifiers,Project_name,sys_sample_code,cas_rn,method_detection_limit,detection_limit_unit,quantitation_limit,lab_qualifiers,interpreted_qualifiers,sample_delivery_group,qaqc_date,SH_LATITUDE,SH_LONGITUDE,SH_WQ_STANDARD,SH_PWL_ID,X,INFO_TYPE
13-DWAR-2.0,"ALKALINITY, TOTAL (AS CaCO3)",10/15/2019,total,135,mg/l,A,Wallkill RAS 2019,13-DWAR-2.0-10152019-W,ALK,1.8,mg/l,2,,,R1910109,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,"ALKALINITY, TOTAL (AS CaCO3)",10/2/2018,total,66.4,mg/l,A,Wallkill RAS 2018,13-DWAR-2.0-10022018-W,ALK,1,mg/l,2,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,"ALKALINITY, TOTAL (AS CaCO3)",6/26/2019,total,85.6,mg/l,A,Wallkill RAS 2019,13-DWAR-2.0-06262019-W,ALK,1.8,mg/l,2,,,R1905963,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,"ALKALINITY, TOTAL (AS CaCO3)",7/10/2018,total,108,mg/l,A,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,ALK,1,mg/l,2,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,"ALKALINITY, TOTAL (AS CaCO3)",7/24/2018,total,78,mg/l,A,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,ALK,1,mg/l,2,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,"ALKALINITY, TOTAL (AS CaCO3)",7/24/2019,total,108,mg/l,A,Wallkill RAS 2019,13-DWAR-2.0-07242019-W,ALK,1.8,mg/l,2,,,R1907020,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,"ALKALINITY, TOTAL (AS CaCO3)",8/14/2019,total,71.6,mg/l,A,Wallkill RAS 2019,13-DWAR-2.0-08142019-W,ALK,1.8,mg/l,2,,,R1907828,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,"ALKALINITY, TOTAL (AS CaCO3)",8/15/2018,total,76,mg/l,A,Wallkill RAS 2018,13-DWAR-2.0-08152018-W,ALK,1,mg/l,2,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,"ALKALINITY, TOTAL (AS CaCO3)",9/17/2019,total,135,mg/l,A,Wallkill RAS 2019,13-DWAR-2.0-09172019-W,ALK,1.8,mg/l,2,,,R1909019,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,"ALKALINITY, TOTAL (AS CaCO3)",9/6/2018,total,127,mg/l,A,Wallkill RAS 2018,13-DWAR-2.0-09062018-W,ALK,1,mg/l,2,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
