SITE_ID,Project_name,sys_sample_code,chemical_name,sample_date,cas_rn,fraction,result_value,result_unit,method_detection_limit,detection_limit_unit,quantitation_limit,lab_qualifiers,validator_qualifiers,interpreted_qualifiers,sample_delivery_group,qaqc_date,SH_LATITUDE,SH_LONGITUDE,SH_WQ_STANDARD,SH_PWL_ID
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,"ALKALINITY, TOTAL (AS CaCO3)",7/24/2018,ALK,total,78.00,mg/l,1,mg/l,2,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,Aluminum,7/24/2018,7429-90-5,total,1100.00,ug/l,23,ug/l,100,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,Arsenic,7/24/2018,7440-38-2,total,1.70,ug/l,0.39,ug/l,1,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,Cadmium,7/24/2018,7440-43-9,total,,ug/l,0.064,ug/l,1,U,U,Analyte was analyzed for but not detected,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,Calcium,7/24/2018,7440-70-2,total,31700.00,ug/l,110,ug/l,1000,E,J,estimated value due to lab error,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,CHLORIDE (AS CL),7/24/2018,16887-00-6,total,39.30,mg/l,0.2,mg/l,2,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,Chlorophyll A,7/24/2018,479-61-8,total,13.90,ug/l,NA,ug/l,0.32,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,Copper,7/24/2018,7440-50-8,total,5.10,ug/l,0.66,ug/l,1,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,HARDNESS (AS CACO3),7/24/2018,HARD,total,104.00,mg/l,NA,mg/l,6.62,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,Iron,7/24/2018,7439-89-6,total,2040.00,ug/l,13,ug/l,100,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,Lead,7/24/2018,7439-92-1,total,1.90,ug/l,0.067,ug/l,1,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,Magnesium,7/24/2018,7439-95-4,total,6100.00,ug/l,29,ug/l,1000,E,J,estimated value due to lab error,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,Nickel,7/24/2018,7440-02-0,total,3.00,ug/l,0.26,ug/l,1,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,Nitrate+Nitrite as Nitrogen,7/24/2018,NO3NO2N,total,0.30,mg/l,7.00E-04,mg/l,0.002,,R,Accuracy error,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,Nitrogen,7/24/2018,KN,total,1.21,mg/l,NA,mg/l,0.2,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,"Nitrogen, ammonia (As N)",7/24/2018,7664-41-7,total,0.03,mg/l,8.00E-04,mg/l,0.005,,R,Precision error,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,"NITROGEN, KJELDAHL, TOTAL",7/24/2018,KN,total,0.91,mg/l,0.08,mg/l,0.2,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,"NITROGEN, NITRATE (AS N)",7/24/2018,14797-55-8,total,0.30,mg/l,NA,mg/l,0.01,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,"NITROGEN, NITRITE",7/24/2018,14797-65-0,total,,mg/l,0.007,mg/l,0.01,U,U,Analyte was analyzed for but not detected,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,"PHOSPHORUS, TOTAL (AS P)",7/24/2018,7723-14-0,total,0.12,mg/l,0.01,mg/l,0.025,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,Silver,7/24/2018,7440-22-4,total,,ug/l,0.039,ug/l,1,U,U,Analyte was analyzed for but not detected,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",7/24/2018,TDS,total,190.00,mg/l,4,mg/l,10,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,TURBIDITY,7/24/2018,TURB,total,18.50,ntu,0.06,ntu,0.1,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,Zinc,7/24/2018,7440-66-6,total,8.60,ug/l,2.5,ug/l,5,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,"ALKALINITY, TOTAL (AS CaCO3)",7/10/2018,ALK,total,108.00,mg/l,1,mg/l,2,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,Aluminum,7/10/2018,7429-90-5,total,308.00,ug/l,11.5,ug/l,50,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,Arsenic,7/10/2018,7440-38-2,total,2.10,ug/l,0.39,ug/l,1,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,Cadmium,7/10/2018,7440-43-9,total,,ug/l,0.064,ug/l,1,U,U,Analyte was analyzed for but not detected,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,Calcium,7/10/2018,7440-70-2,total,38900.00,ug/l,110,ug/l,1000,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,CHLORIDE (AS CL),7/10/2018,16887-00-6,total,49.60,mg/l,0.2,mg/l,2,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,Chlorophyll A,7/10/2018,479-61-8,total,4.77,ug/l,NA,ug/l,0.34,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,Copper,7/10/2018,7440-50-8,total,3.30,ug/l,0.66,ug/l,1,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,HARDNESS (AS CACO3),7/10/2018,HARD,total,126.00,mg/l,NA,mg/l,6.62,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,Iron,7/10/2018,7439-89-6,total,746.00,ug/l,13,ug/l,100,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,Lead,7/10/2018,7439-92-1,total,0.95,ug/l,0.067,ug/l,1,J,J,estimated value due to lab error,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,Magnesium,7/10/2018,7439-95-4,total,7000.00,ug/l,29,ug/l,1000,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,Nickel,7/10/2018,7440-02-0,total,1.60,ug/l,0.26,ug/l,1,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,Nitrate+Nitrite as Nitrogen,7/10/2018,NO3NO2N,total,0.19,mg/l,7.00E-04,mg/l,0.002,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,Nitrogen,7/10/2018,KN,total,0.84,mg/l,NA,mg/l,0.2,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,"Nitrogen, ammonia (As N)",7/10/2018,7664-41-7,total,0.05,mg/l,8.00E-04,mg/l,0.005,,R,Equipment Blank error,NA,NA,41.62444,-74.19945,C,1306-0062
13-DWAR-2.0,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,"NITROGEN, KJELDAHL, TOTAL",7/10/2018,KN,total,0.65,mg/l,0.08,mg/l,0.2,,A,,NA,NA,41.62444,-74.19945,C,1306-0062
